N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared		Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Comentario a la fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Descripción del ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase
																																																	
						"CUARTO PRIORAL - SALA DE LA ORDEN DEL CARMEN :                                                                                                                         Este relicaro fue un regalo hecho a la Orden de Santos Carmellitas. En él podemos ver dentro piezas originales ""reliquias"" tiene un valor histórico y de fé. la teca en media luna contiene un escrito del puño de Santa Teresa,. En la parte baja derecha, algunos fragmentos de tela pequeñas pertenecientes a los hábitos de algunos santos y santas carmelitas. Orden que fue popular en algún momento en toda Europa sobre todo por el trabajo que realizó Santa Teresa. De otro lado una astilla de madera que se le atribuye a otro santo. Para la orden carmelita las donaciones de estas reliquias fueron muy importantes. Está hecho en plata, contiene las reliquias de santos y santas de la Orden Carmelita, que entre otras reliquias, contiene un fragmento escrito hace alrededor de 450 años por la propia Santa Teresa de Jesús. En el mismo relicario hay un pequeñísimo fragmento de madera, tradicionalmente se considera que perteneció a la Cruz de Cristo, propiamente se le llama: Lignum Crucis."															Hasta unos días antes de la apertura del Museo (16 de junio de 2005), funcionaba aquí el Cuarto Prioral, que era la oficina de la Madre Priora. Siendo este un Monasterio Carmelita, el tema de esta primera Sala es la Orden del Carmen, Orden cuya historia se remonta al Antiguo Testamento, considerando como su más antiguo representante al Profeta Elías. Varios siglos más tarde, en 1515 nace en Ávila, España, Teresa de Jesús, que reformará la Orden Carmelita, y sentará las bases de las Comunidades de Carmelitas Descalzas.																												
					m04_s01_009_x	Árbol genealógico de santos y santas Carmelitas	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"Los carmelitas tienen un origen inicial en el monte llamado ""Monte Carmelo"", los dos hombre que vemos parados en la parte inferior ""Elias y Eliseo""  Elias sostiene la espada de fuego en la mano, su historia es muy parecida a la de Moisés, él lleva una lucha en la cima del monte contra personas no creyentes y demuestra el poder de Dios.  Por eso se le atribuye la espada como el guerrero de Dios.  El es el que da origen a la orden Carmelita, es el que vive en el Monte Carmelo por voluntad propia, a él lo siguen otras personas movidos por su propio modo de vida y por la fe que muestran y habitan el monte Carmelo, convirtiendo esa tierra en una tierra santa."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_009_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s02_010_p	Aparición del Niño Jesús a Santa Teresa	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"En este lienzo se muestra a Santa Teresa de rodillas con un libro y un rosario en muestra de reverencia hacia el Niño Jesús quien se le ha aparecido y esta sobre un pedestal. Es un oleo sobre lienzo, donde tambien se ha aplicado la técnica del ""Estofado""."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_010_p	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s02_011_x	San Simón Stock recibe el Escapulario de las manos de la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre madera		Esta es una pintura sobre tabla que grafica la historia e importancia del uso del escapulario carmelita: aquí se ve a San Simón Stock en oración, este santo era un monje carmelita de origen inglés;  delante de él aparece la Virgen con el Niño quien le entrega el escapulario, prometiendo que aquel que lo use devotamente y muera con él, será rescatado del purgatorio, por ella, al sábado siguiente de su muerte. Esto se grafica con una representación del purgatorio, en la esquina inferior izquierda, a donde vuela en picada un ángel. La Virgen también le dice a San Simón Stock que es la protectora de los carmelitas y le muesra el color marrón como el que simboliza la Orden.	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_011_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s02_012_x	Escapularios Procesional	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Terciopelo con pintura a la aguja con hilos de metal		El símbolo por excelencia de la Orden del Carmen es sin duda el “Escapulario”,  objeto religioso, cuya historia se remonta a la Edad Media, relacionado con el culto a la Virgen María y al anhelo de alcanzar la salvación eterna. El mes de julio está dedicado a la advocación de la Virgen del Carmen, patrona de la orden de la Virgen María del Monte Carmelo; Nuestra Señora del Carmen es una advocación mariana que se originó en el siglo XII en el Monte Carmelo. Un grupo de peregrinos y ex cruzados procedentes de la vieja Europa, inspirados en la antigua tradición del profeta Elías, decidieron experimentar una vida de ermitaños en el silencio y la soledad del monte bíblico, ubicado en los desiertos al norte de Palestina. En medio de sus grutas construyeron un oratorio dedicado a la Virgen María, donde diariamente se reunían para orar. Con el tiempo, los ermitaños se transformaron en la “Hermandad de la Bienaventurada Virgen María del Monte Carmelo”, para lo cual obtuvieron una regla de vida, gracias a la que adquirieron el reconocimiento de la Iglesia como comunidad religiosa. Debido al asedio que empezaron a sufrir por parte de los sarracenos, se vieron obligados a abandonar el Monte Carmelo y se dirigieron a Europa, cambiando la quietud del desierto por el bullicio de las ciudades donde, alrededor del año 1240, empezaron su expansión fundando conventos como orden mendicante dedicada a predicar, al igual que franciscanos, dominicos y mercedarios. La expansión de los carmelitas por el continente europeo no fue fácil, tuvieron que enfrentar el rechazo de las otras órdenes. En ese contexto, se cuenta que San Simón Stock, sexto prior de la orden del Carmen, angustiado por la hostilidad de que eran objeto, acudió a la Virgen del Carmen, su patrona, para pedirle protección. Según la leyenda carmelita, el 16 de julio de 1251, la Virgen se presentó ante Simón Stock portando un escapulario en la mano y al entregárselo le prometió que quien lo llevara en el momento de la muerte, se salvaría de la condena eterna.	Siglo XIX																							m04_s01_012_x	c_08/06_02	Símbolos personales como medios de comunicación	Símbolos de creencias	
					m04_s02_013_x	San Juan de la Cruz	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		San Juan de la Cruz es al lado de Sta Teresa uno de los alumnos y reformadores de la Orden Carmelita.  Carmelita místico y poeta, viste hábito, porta cruz, libro y pluma, en ocasiones, también un lirio.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_013_x	c_11/02_06_01; c_11/02_04_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo, Óleos de Imágenes alegóricas religiosas	
					m04_s02_014_x	Virgen del Carmen con los Santos Carmelitas y frailes	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"En esta obra podemos apreciar a la Virgen del Carmen, quien en la mano derecha extendida lleva el escapulario, y en el brazo izquerdo lleva al Niño Jesús. A su lado derecho en la parte mas alta y cercana a ella, se muestra a Santa Teresa y a Virgenes, al lado izquierdo estan los profetas, entre ellos San Elias. En la siguiente fila se observa a mano derecha a los patriarcas y pontífices, y a la mano izquierda a martires, entre ellos a San Angelo. Y en la parte baja podemos observar a anacoretas y doctores como San Juan de la Cruz, San Franco Confellores, San Alberto, San Cirilo entre otros. Y reza una frase en la base del oleo que dice  ""Asi como no se puede numerar las Estrellas del Cielo; asi no se pueden numerar los Santos de la Sagrada Religión""."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_014_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s02_015_x	La Virgen entrega el velo a Santa María Magdalena de Pazzi	de Balliu, Bernard	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Grabado a punta seca		En esta imagen podemos apreciar un raro grabado europeo a Santa María Magdalena de Pazzi. Este grabado es obra del grabador belga Bernard de Balliu, está firmado y fechado por él en 1669; alrededor de un siglo después, fue iluminado al óleo por un desconocido artista peruano	1669																							m04_s01_015_x	c_11/04_01, c_11/04_04	Impresiones o grabados de arte fino	Impresiones de Imágenes de la historia religiosa, Impresiones de imágenes de la historia alegórica	
					m04_s02_016_x	Pintura de San Alberto	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Alberto de Bollstaedt, conocido en su época como Alberto el Teutónico o Alberto de Colonia, nació en Lauingen, en el sur de Alemania, a finales del siglo XII. Procedente de una familia de militares, Alberto se trasladó a la Universidad de Padua (Italia) para realizar sus estudios en las llamadas “artes liberales”: gramática, retórica, dialéctica, aritmética, geometría, astronomía y música. Allí se une a la orden Dominica en 1222, apenas unos años después de la fundación de la orden por santo Domingo de Guzmán. 	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_016_x	c_11/02_06_01; c_11/02_04_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo, Óleos de Imágenes alegóricas religiosas	
					m04_s02_017_x	Santa Teresa como escritora	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Maguey y tela encolada		"Escultura con articulaciones mobibles, por eso puede ser vestida.  El vestido de los carmelitas es de color marrón, con velo negro;  cuando se trata de una vestimenta de gala utilizan la capa.   Se le reconoce por tres atributos el primero es la pluma que lleva  en una mano, la segunda es un libro que lleva en la otra mano y la paloma que aparece al costado de su cabeza al lado izquierdo que representa al Espíritu Santo, que es la  presencia de Dios.  Ella es nombrada como la primera doctora de la Iglesia. Para obtener el título de doctor de la iglesia tiene que reunir ciertos requisitos:.  Santa Teresa dió muchos aportes a través de sus libros que se cuentan más de 3 libros y fragmentos y cartas dirigidas al Papa y a otros eclesiásticos, donde se le considera muchos aportes de a la filosofía y teología. Santa Teresa de Avila fue una monja española que vivió en el siglo XIV.  Muy importante para la orden, no solo por su profunda fe, sino por haber sido la reformadora de la Orden Carmelita.  Luego de un periodo de tiempo dentro de la Orden decide hacer ciertas modificaciones como pasar de ser ""la orden de los Carmelitas"" a ser ""la de los Carmelitas descalzos"""	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_017_x	c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema religioso	
					m04_s02_018_x	Profeta Elías	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Maguey y tela encolada		"Esta es una escultura de bulto redondo donde podemos apreciar a San Elías vistiendo el habito de la orden Carmelita a quien reconocen como fundador de la obra ya que se dice que vención a los falsos dioses en el Monte Carmelo con la espada flamigea en la mano derecha.                      REVISAR ES SOLO MODELO: Pintura de la escuela cusqueña, con tendencia barroca, en la que destaca el uso del claro oscuro, resaltando el manto en color rojo. La imagen muestra al profeta Jeremías, quien se encuentra representado en señal de oración en frente de un libro sagrado. Sobre el profeta Jeremías: hijo del sacerdote Hilcías. Jeremías vivió entre el 650-585 antes de Cristo, en Judá, Jerusalén, Babilonia y Egipto. La labor de Jeremías el profeta fue llamar al arrepentimiento al reino de Judá y, principalmente, a los reyes Josías, Joacim, debido al castigo impuesto por Yahvéh de que serían conquistados por los caldeos si no volvían su corazón hacia Dios. 
 Jeremías procede del hebreo y significa «Dios pone orden»."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_018_x	c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema relligioso	
					m04_s02_019_x	Transverberación de Santa Teresa	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"En este liezo podemos ver como lo dice su nombre la ""Transverberación"" un liezo muy importante para la orden carmelita. Transverberar significa ""atravesar""  En este caso Dios envía a un angel para que transverbere su corazón con una punta de fuego de amor eterno. Según estudios se dice que el corazón de Santa Teresa tiene una marca símbolo de la transverberación. En este lienzo podemos ver características del estilo barroco de la época. Se caracteriza por la contraposición del claro oscuro, se muestran sombras oscuras, colores más intensos, en contraposición a áreas más iluminadas.  Los trazos son más gruesos, mayor dramatismo. Aquí también vemos que como característica del propio artista él dibuja una ventana donde nos muestra algo de flora y fauna que representa a la flora y fauna del Perú y latinoamérica.  Una característica de la escuela cusqueña fue el anonimato, tenemos grandes artistas destacados, no se les puede atribuir 100% de manera directa sus piezas porque la mayoría no tienen firma del autor, sin embargo en algunos cuando el autor deseaba ser reconocido firmaba en la parte de abajo.  En otro slugares que muestran piezas de esta escuela, se reconocen por características de sus propios trazos. "	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_019_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s02_020_x	Patrocinio de la Virgen del Carmen	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		 En este lienzo, la Virgen del Carmen se muestra al centro, mientras que su amplio manto, se despliega sobre los personajes que aparecen a sus lados. Se observa el lado masculino de la orden donde vemos a varios personajes de la orden y al profeta Elías, que viste el hábito carmelita, orden que lo considera su fundador; sostiene la espada flamígera, atributo con que se le representó frecuentemente desde el siglo XVII. Por el otro lado podemos ver el lado femenino de la orden y a Santa Teresa de Ávila, quien viste el hábito marrón con toca blanca, velo negro y manto blanco de las carmelitas descalzas; Encima de la Virgen del Carmen aparecen padre e hijo coroanando a la Virgen del Carmen y ella parada sobre unos angelitos.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_020_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
