N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	Cerámica Nasca Vaso Mitico o Religioso				m02_s01_006_x	Cerámica Nasca Vaso Mitico o Religioso	Artesano Nazca	Ninguno	No asignado	Objeto utilitario usado  para almacenar, transportar o servir lìquidos. Probablemente también usado para fines rituales o ceremoniales.	Museo  Convento La Recoleta	15	12	No registra	No registra	No registra	Regular estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso con representación de ser mítico  con rostro antropomorfo y rasgos de felino, y figuras geométricas; colores blanco, negro, rojo, anaranjado, café.  	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_006_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
	Cerámica Nasca Plato Geometrico				m02_s01_007_x	Cerámica Nasca Plato Geométrico	Artesano Nazca	Ninguno	No asignado	Recipiente para alimentos y probablemente para fines rituales o ceremoniales	Museo  Convento La Recoleta	13	16	No registra	No registra	No registra	Regular estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Plato hondo decorado con motivos de líneas ondulantes, a manera de red, que representaría al agua que fluía por el mundo interior, incluyendo puntos y con alta calidad en el pulido. Destacan los colores: negro, marrón y rojo.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_007_x	c_04/02_07;                          c-08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Recipientes de servicio; objetos funerarios y ceremoniales	
	Cerámica Nasca Plato Ceremonial				m02_s01_008_x	Cerámica Nasca Plato Ceremonial	Artesano Nazca	Ninguno	No asignado	Recipiente para alimentos con fines ceremoniales	Museo  Convento La Recoleta	12	16	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Plato hondo con decoración abstracta. Destacan los colores: blanco, crema, naranja, negro y rojo.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_008_x	c_04/02_07;                          c-08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Recipientes de servicio; objetos funerarios y ceremoniales	
4	Cerámica Nasca Plato Ceremonial II				m02_s01_009_x	Cerámica Nasca Plato Ceremonial 	Artesano Nazca	Ninguno	No asignado	Recipiente para alimentos y para fines ceremoniales	Museo  Convento La Recoleta	12	16	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Plato hondo con decoración abstracta. Destacan los colores: blanco, crema, naranja, negro y rojo.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_009_x	c_04/02_07;                          c-08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Recipientes de servicio; objetos funerarios y ceremoniales	
	Cerámica Nasca Vasija Policromada Diseño Mitico Religioso				m02_s01_010_p	Cerámica Nasca Cántaro escultórico polícromo, diseño mítico.	Artesano Nazca	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha, agua y probablemente para fines ceremoniales	Museo  Convento La Recoleta	26	28	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03, md_03_03	Cántaro escultórico con diseño abstracto y con alta calidad en el  pulido. Cantaro globular con dos asas laterales pequeñas en el cuerpo. Base convexa. Destacan los colores: marron, negro, naranja y blanco.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_010_p	c_07/01_01;                         c_04/01_06; c_04/02_07;     c_08/03_01	Contenedores; equipo de almacenamiento de alimentos; recipientes de servicio; 	Contenedores; equipo de almacenamiento de alimentos, Recipientes de servicio; Objetos funerarios y ceremoniales	
	Cerámica Nasca Vasija Ceremonial Diseño Lanza				m02_s01_011_x	Cerámica Nasca Vaso Ceremonial Diseño Lanza	Artesano Nazca	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua  y para fines ceremoniales	Museo  Convento La Recoleta	16	18	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso con diseño representando lanzas, con base convexa. Destacan los colores blanco, naranja, amarillo,rojo, blanco y negro. Los pigmentos utilizados eran minerales extraídos de los desiertos de la región.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_011_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
	Cerámica Nasca Diseño Naturalista Aves				m02_s01_012_x	Cuenco Nasca con diseño de Aves	Artesano Nazca	Ninguno	No asignado	Objeto utilitario usado  para almacenar, transportar o servir  usualmente lìquidos; pudiendo ser usado tambièn para actos ceremoniales.	Museo  Convento La Recoleta	13	16	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Cuenco con diseños  zoomorfos (aves miticas). Destacan los colores: rojo, amarillo, crema, negro, café y blanco. 	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_012_x	c_07/01_01;   c_04/02_03;                       c_04/02_07;     c_08/03_01	Contenedores; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación	Contenedores; vasos o vasijas para comer, Recipientes de servicio; Objetos funerarios y ceremoniales	
	Cerámica Nasca Vaso Ceremonial Cabeza Decapitada				m02_s01_013_x	Cerámica Nasca Vaso Ceremonial Cabeza Decapitada 	Artesano Nazca	Ninguno	No asignado	Recipiente para lìquidos con fines ceremoniales	Museo  Convento La Recoleta	15	19	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso ceremonial con diseño de cabezas decapitadas, las cuales serían los trofeos ganados en batallas ceremoniales. Destacan lo colores: naranja, amarillo, blanco, negro y rojo	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_013_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
	Cerámica Nasca Vasija AsaPuente				m02_s01_014_x	Cerámica Nasca Botella Asa Puente	Artesano Nazca	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua y probablemente para fines ceremoniales	Museo  Convento La Recoleta	18	22	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03, md_03_01	Botella de cuerpo globular, con dos picos o golletes unidos por una asa puente cintada, con diseños de cabezas humana. Destacan los colores: rojo, gris, crema y negro	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_014_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Nasca Vaso Ceremonial Cabeza Decapitada II				m02_s01_015_x	Cerámica Nasca Vaso Ceremonial Cabeza Decapitada 	Artesano Nazca	Ninguno	No asignado	Recipiente para lìquidos con fines ceremoniales	Museo  Convento La Recoleta	16	16	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso ceremonial con diseño de cabezas decapitadas. Destacan lo colores: naranja, amarillo, blanco, negro y rojo	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_015_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
7	Cerámica Nasca Vaso Ceremonial Diseño Rostro				m02_s01_016_x	Cerámica Nasca Vaso Ceremonial Diseño Rostro	Artesano Nazca	Ninguno	No asignado	Recipiente para lìquidos con fines ceremoniales	Museo  Convento La Recoleta	18	13	No registra	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03	Vaso representando cabeza humana con tocado, los ojos abiertos, pintura facial y con bigotes.  Este personaje se trataría de la figura de un líder comunitario representando a uno de los ancestros.  Descatan los colores: naranja, amarillo, crema, negro y rojo.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_016_x	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
	Cerámica Nasca Vasija Zoomorfa Camelido Vicuña				m02_s01_017_x	Cerámica Nasca Botella Escultórica Zoomorfa Camélido Vicuña	Artesano Nazca	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua y probablemente para fines ceremoniales	Museo  Convento La Recoleta	13	9	15	No registra	No registra	Buen estado de conservación	"Material: Arcilla. Técnica usada: Modelado y ""Horror al vacío"" (pintado de la cerámica y luego cocción al horno)"	md_01_03, md_03, md_03_03	Botella escultórica zoomorfa (Caméido Vicuña), con un pico o gollete alargado. De color café.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_017_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Wari Vaso Ceremonial				m02_s01_018_p	Cerámica Wari Vaso Ceremonial	Artesano Wari	Ninguno	No asignado	Recipiente para lìquidos con fines ceremoniales	Museo  Convento La Recoleta	6	5	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla. Técnica usada: modelado 	md_01_09, md_03	Vaso ceremonial (Kero), con diseños en alto relieve, en color marrón	p_01_05	Entre los años del período	p_01_05	Horizonte medio	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_018_p	c_04/02_01;                          c_08/03_01	Herramientas y equipos para servir alimentos; objetos ceremoniales de comunicación	Vasos para beber, objetos funerarios y ceremoniales	
	Cerámica Wari Figura Antropomorfa				m02_s01_019_x	Cerámica Wari Figura Antropomorfa	Artesano Wari	Ninguno	No asignado	Objeto ceremonial	Museo  Convento La Recoleta	13.56	7.53	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla. Técnica usada: modelado 	md_01_09, md_03	Personaje masculino, representado sentado y desnudo, con los brazos hacia los lados. Presenta un gorro, en color marrón	p_01_05	Entre los años del período	p_01_05	Horizonte medio	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_019_x	c_08/03_01	Objetos ceremoniales de comunicación	Objetos funerarios y ceremoniales	
	Cerámica Mochica Vasija 				m02_s01_020_x	Cerámica Mochica Botella	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua 	Museo  Convento La Recoleta	13	6	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Molde	md_01_05, md_03	Botella con gollete o pico alargado, en color negro, con cuerpo ondulado, lo que podría representar el agua.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_020_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Sonara Diseño Zoomorfo				m02_s01_021_x	Cerámica Mochica Botella escultórica Sonora Diseño Zoomorfo	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	8.9	8.9	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde y modelado	md_01_05, md_03, md_03_03, md_03_04	Botella silbadora de cuerpo esférico, con un gollete y una pequeña cabeza de ave en la parte superior del cuerpo. Con base pedestal. Este tipo de recipiente  emite sonidos de diversas tonalidades produciendo efectos sorprendentes a causa de la presión del aire que ejerce el líquido en el interior de la vasija al ser impulsado por el líquido cuando es vertido.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_021_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Sonara Diseño Zoomorfo II				m02_s01_022_x	Cerámica Mochica Vasija Escultórica Sonara Diseño Zoomorfo 	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	9	14	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde y modelado	md_01_05, md_03, md_03_03, md_03_04	Vasija sonora de tres cuerpos, unidos por un asapuente con una figura antropomorfa a un extremo del asa. Este tipo de recipiente  emite sonidos de diversas tonalidades produciendo efectos sorprendentes a causa de la presión del aire que ejerce el líquido en el interior de la vasija al ser impulsado por el líquido cuando es vertido.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_022_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Policroma Zoomorfa				m02_s01_023_x	Cerámica Mochica Botella 	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	19	10	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde	md_01_05, md_03	Botella de cuerpo globular, base pedestal, con dos asas estribo cintadas, unidas a un gollete, con diseños de aves y simbolos. Destacan los colores crema, marrón y rojo.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_023_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Tallada Alto Relieve Guerreros				m02_s01_024_p	Cerámica Mochica Botella Asa Estribo en Alto Relieve, diseño Guerreros	Artesano Mochica	Ninguno	No asignado	Uso ritual o ceremonial	Museo  Convento La Recoleta	19	11.5	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde y modelado	md_01_05, md_03, md_03_02	Botella de cuerpo globular con asa estribo, base pedestal. Diseño de personajes guerreros trabajados  en alto relieve. Color marrón. 	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_024_p	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
