CODIGO	DESCRIP1	DESCRIP2	INICIO	FIN
p_04_02_02		Arte y arquitectura Barroca (entre 1650 a  1780)	1650	1780
p_04_02_03		Arte y arquitectura Neoclásica (Mediados del siglo XVIII hasta primera mitad XIX)	1750	1850
p_04_03		Arte Republicano (1821 a 1920)	1821	1920
p_04_03_01		Arte y Arquitectura Neoclásica (primera mitad XIX)	1801	1850
p_04_04		Arte Republicano - moderno (aprox. 1920 a 1960)	1920	1960
p_04_05		Arte Contemporáneo (a partir del 1960 a la actualidad)	1960	2020
				
p_05	Períodificación historia y arte en siglos			
p_05_01		Siglo X	901	1000
p_05_02		Primera mitad siglo X	901	950
p_05_03		Mediados del siglo X	930	970
p_05_04		Segunda mitad siglo X	951	1000
p_05_05		Siglo XI	1001	1100
p_05_06		Primera mitad del siglo XI	1001	1050
p_05_07		Medidados del siglo XI	1030	1070
p_05_08		Segunda mitad siglo XI	1051	1100
p_05_09		Siglo XII	1101	1200
p_05_10		Primera mitad del siglo XII	1101	1150
p_05_11		Medidados del siglo XII	1130	1170
p_05_12		Segunda mitad siglo XII	1151	1200
p_05_13		Siglo XIII	1201	1300
p_05_14		Primera mitad del siglo XIII	1201	1250
p_05_15		Medidados del siglo XIII	1230	1270
p_05_16		Segunda mitad siglo XIII	1251	1300
p_05_17		Siglo XIV	1301	1400
p_05_18		Primera mitad del siglo XIV	1301	1350
p_05_19		Medidados del siglo XIV	1330	1370
p_05_20		Segunda mitad siglo XIV	1351	1400
p_05_21		Siglo XV	1401	1500
p_05_22		Primera mitad del siglo XV	1401	1450
p_05_23		Medidados del siglo XV	1430	1470
p_05_24		Segunda mitad siglo XV	1451	1500
p_05_25		Siglo XVI (arte fundamentalmente religioso) (RENANCENTISTA)	1501	1600
p_05_26		Primera mitad del siglo XVI	1501	1550
p_05_27		Medidados del siglo XVI	1530	1570
p_05_28		Segunda mitad siglo XVI	1551	1600
p_05_29		Siglo XVII 	1601	1700
p_05_30		Primera mitad del siglo XVII (arte barroco)	1601	1650
p_05_31		Medidados del siglo XVII (arte barroco)	1630	1670
p_05_32		Segunda mitad siglo XVII (arte barroco)	1651	1700
p_05_33		Siglo XVIII (arte barroco)	1701	1800
p_05_34		Primera mitad del siglo XVIII (arte barroco)	1701	1750
p_05_35		Medidados del siglo XVIII (arte barroco)	1730	1770
p_05_36		Segunda mitad siglo XVIII (arte Barroco que comparte tiempo con el Neoclásico)	1751	1800
p_05_37		Siglo XIX	1801	1900
p_05_38		Primera mitad del siglo XIX	1801	1850
p_05_39		Medidados del siglo XIX	1830	1870
p_05_40		Segunda mitad siglo XIX	1851	1900
p_05_41		Siglo XX	1901	2000
p_05_42		Primera mitad del siglo XX	1901	1950
p_05_43		Medidados del siglo XX	1930	1970
p_05_44		Segunda mitad siglo XX	1951	2000
