DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
El Buen Retiro (casona no existente)	2	p		m01_s02_035	Maqueta de la fachada de la Casona El Buen Retiro	Fernán Zegarra, Guillermo	396439000580	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	56 cm	51 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida dentro de un expositor de madera con tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.  Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. Casona Colonial.  Construida con sillar. En la actualidad ya no existe.	1934	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_035	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia de la Compañía lateral 1654	2	p		m01_s02_036_p	Maqueta de la fachada de la Iglesia de la Compañía lateral	Fernán Zegarra, Guillermo	396439000595	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	52 cm	58 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.  Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. Fue construida en 1578  destruida por un terremoto en 1584. La segunda edificación  fue inaugurada en 1698  la cual permanece hasta la actualidad. Edificada en sillar, estilo barroco-mestizo. En el pórtico se observa el tallado de la Virgen de las Mercedes.	1934	p_04_03	Mediados del siglo XX	1934	1934	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	1934	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_036_p	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Hospital de San Juan de Dios 1552	2	p		m01_s02_037	Maqueta de la fachada del Hospital de San Juan de Dios 	Fernán Zegarra, Guillermo	396439000493	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	38 cm	41 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.    Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  Hospital construido en el año 1619.	1957	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_037	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia de la Compañía (frontis) 1654	2	p		m01_s02_038	Maqueta de la fachada de la Iglesia de la Compañía (frontis) 	Fernán Zegarra, Guillermo	396439000596	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	50 cm	55 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio.. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. La Iglesia fue construida en 1578  destruida por un terremoto en 1584. La segunda edificación  fue inaugurada en 1698  la cual permanece hasta la actualidad. Edificada en sillar, estilo barroco-mestizo. 	1957	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_038	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Casa Irriberry 1743	2	p		m01_s02_039	Maqueta de la fachada de la Casa Irriberry 	Fernán Zegarra, Guillermo	396439000578	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	60 cm	47 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida en un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.    Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  La Casa Arróspide o Irriberry, contruida en el año 1743. conocida por algunos como la Casa Parlante por sus mensajes tallados en sillar.  Estilo: barroco-mestizo.	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_039	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Portal Colonial 	2	p		m01_s02_040	Maqueta de la fachada del Portal Colonial	Fernán Zegarra, Guillermo	396439000494	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	27.5 cm	30 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.    Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. Portal construido en el año 1800	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_040	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia Yanahuara 1652	2	p		m01_s02_041	Maqueta de la fachada de la Iglesia Yanahuara 	Fernán Zegarra, Guillermo	396439000576	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	52 cm	53 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  Iglesia construida en el año 1652. Material: sillar. Estilo Barroco-Mestizo.  La actual iglesia conserva la fachada original de 1652.	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_041	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia de Chiguata	2	p		m01_s02_042	Maqueta de la fachada de la Iglesia de Chiguata 	Fernán Zegarra, Guillermo	396439000492	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	33 cm	38 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra está protegida por un marco de madera y tapa de vidrio.El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  Iglesia construida en el siglo XVIII. Material: Sillar. Estilo barroco-mestizo.	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_042	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia de Cayma 1719	2	p		m01_s02_049	Maqueta de la fachada de la Iglesia de Cayma 	Fernán Zegarra, Guillermo	396439000594	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	50 cm	56 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. Iglesia construida en el año 1719. Material: sillar. Estilo barroco-mestizo. Actualmente conserva la fachada original.	1934	p_04_03	Mediados del siglo XX	1934	1934	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	1934	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_049	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia de San Francisco 1569	2	p		m01_s02_050	Maqueta de la fachada de la Iglesia de San Francisco 	Fernán Zegarra, Guillermo	396439000585	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	56 cm	65 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. Iglesia construida por la Orden Franciscana en el año 1569, en sillar. Reconstruida en diferentes épocas.   Destaca por su coro de piedra y por la aplicación artística del ladrillo en la configuración del frontis.	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_050	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Templo de la Compañía (Guillermo Fernán Zegarra)	2	p		m01_s02_051	Maqueta de la fachada del Templo de la Compañía 	Fernán Zegarra, Guillermo	396439000582	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	29 cm	34 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. El Templo fue construida en 1578  destruida por un terremoto en 1584. La segunda edificación  fue inaugurada en 1698  la cual permanece hasta la actualidad. Edificada en sillar, estilo barroco-mestizo. 	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_051	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Primer Palacio Episcopal (Guillermo Fernán Zegarra 1968)	2	p		m01_s02_052_p	Maqueta de la fachada del primer Palacio Episcopal 	Fernán Zegarra, Guillermo	396439000581	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	25.5 cm	33.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París. Este edificio fue construido en la primera mitad del siglo XX. Estilo neo-gótico. Uno de los pocos edificios de la ciudad revestidos de sillar rosado.	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_052_p	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia Santa Ana de Paucarpata: 1540	2	p		m01_s02_053	Maqueta de la fachada de la Iglesia Santa Ana de Paucarpata	Fernán Zegarra, Guillermo	396439000577	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	51 cm	56 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  Sobre la Iglesia: La primera iglesia fue construida en 1540, por los padres dominicos. Material: sillar. Estilo barroco-mestizo.	1934	p_04_03	Mediados del siglo XX	1934	1934	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	1934	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_053	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia de Santa Rosa: 1747	2	p		m01_s02_054	Maqueta de la fachada de la Iglesia Santa Rosa	Fernán Zegarra, Guillermo	396439000579	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	51 cm	46 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	La obra se encuentra protegida por un expositor de madera y tapa de vidrio. El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.  Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  El monasterio de Santa Rosa fue fundado el 12 de junio de 1747. Tiene una iglesia que conserva muchas talladuras originales de estilo barroco mestizo del siglo XVIII.	1947	p_04_03	Mediados del siglo XX	1947	1947	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	1947	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_054	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Iglesia Santa Marta - portada falsa (Guillermo Fernán Zegarra 1968)	2	p		m01_s02_055	Maqueta de la fachada de la  Iglesia Santa Marta (portada falsa)	Fernán Zegarra, Guillermo	39643900584	Registro arquitectónico y demostrativo de la ciudad. Exposiciones arquitectónicas y artísticas a nivel, local, nacional e internacional. para revalorar la arquitectura  barroco-mestiza y neoclásica de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	51.5 cm	30.5 cm	32.5 cm	No aplicable	No aplicable	No definido	Buen estado                             	Cartón grueso	El autor de la obra fue un reconocido maquetista, dibujante y pintor autodidacta, nacido en la ciudad de Arequipa. La técnica que utilizó para hacer este trabajo es corte de cartón con hoja de guilette pegado con cola.   Maqueta presentada en destacadas exposiciones nacionales e internacionales, como en París.  Esta Iglesia, según registros, data de la penúltima década del siglo XVI, concluida casi a finales del siglo XVI. Construida en estilo barroco-plateresco.	Mediados del siglo XX	p_04_03	Mediados del siglo XX	Mediados del siglo XX	Mediados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Fernán Zegarra, Guillermo	Ninguna	Mediados del siglo XX	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_055	c_08/02_02; c_08/02_50	Arte comunicativo	Obra de arte; trabajo corte de papel			
Cuadro de Simón Bolivar, militar y político venezolano, fundador de las repúblicas de Colombia y Bolivia y uno de los Libertadores de América.	2	p		m01_s02_056	Simón Bolivar	Desconocido	396439000505 (288)	Homenajear y rememorar su valiosa participación en la liberación del Perú.	Museo Histórico Municipal de Arequipa	129.5 cm	88 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado de conservación	Oleo 	"Sobre la obra: En la pintura se observa a un hombre (Simóm Bolívar) (plano de tres cuartos) vistiendo un traje de gala militar y una capa que cubre su brazo; destacando una espada de parada. Sobre el personaje: José Antonio de la Santísima Trinidad Bolívar Ponte y Palacios Blanco, conocido como Simón Bolívar ""El Libertador""  Nació en Caracas - Venezuela en el año 1783.  Fue un militar y político venezolano, que lideró durante veinte años la lucha para lograr la independencia de Bolivia, Colombia, Ecuador, Perú y Venezuela.  En 1824 consolida la libertad del Perú expulsndo de manera definitiva a los españoles, tras la derrota de estos en las batallas de ""Junín y Ayacucho"". En la historia de Arequipa queda registrada la visita que hizo Simón Bolívar a esta ciudad el 12 de mayo de 1825, haciendo su ingreso por el único puente de acceso la ciudad de Arequipa (hoy conocido como Puente Bolognesi). Permaneció en Arequipa durante 1 mes, participando en diferentes celebraciones ofrecidas en su honor."	Desconocido	Desconocido	Desconocido	Desconocida	Desconocida	ninguna	ninguna	ninguna	ninguno	No aplicable	Donacion	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_056	c_11/02_07_02	Pinturas de arte de fino	Pinturas, retrato histórico militar, libertadores de América.			
1 Cuadro grande de Don José de San Martín - Libertador del Perú.	2	p		m01_s02_057	José de San Martín	Desconocido	39643939000504	Homenajear y rememorar su valiosa participación en la liberación del Perú.	Museo Histórico Municipal de Arequipa	214.5 cm	140.5 cm	No aplicable	No aplicable	No aplicable	No definido	Bien Conservado	Oleo	"Sobre la obra: En la pintura se observa a Don José de San Martín, parado, vistiendo un traje de gala militar, un par de botas y una capa que cubre la mitad de su cuerpo, donde se destaca una espada de parada; en su mano izquierda sostiene la capa y un bicornio, en el paso de los Andes de Chile a Perú.  Sobre el personaje: José Francisco de San Martín y Matorras. Nació en Yapeyú - Argentina en el año 1778.  Fue un político y militar, reconocido como el ""Libertador de Argentina, Chile y Perú"".´El retrato lo muestra con su uniforme militar. El 15 de julio de 1821 firma el Acta de la Independencia del Perú y el 28 de julio de 1821, en una ceremonia pública, proclama la  Independencia del Perú. Tras declarar la indepencia se queda en el Perú bajo el título de protector, gobernante civil y líder militar del Perú. El 26 de julio de 1822, tuvo un encuentro memorable  para la historia de América del Sur, José de San Martín se reunió con Simón Bolívar en la ciudad de Guayaquil, hoy Ecuador. Los dos libertadores conversaron en secreto por más de 4 horas y San Martín retornó a Lima la noche del mismo día. "	Desconocida	Desconocido	Desconocido	Desconocida	Desconocida	ninguna	ninguna	ninguna	ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_057	c_11/02_07_02	Pinturas de arte de fino	Pinturas, retrato histórico militar, libertadores de América.			
1 Vitrina con  objetos de don José Trinidad Morán y Morán y de don José de San Martín	2	2							Museo Histórico Municipal de Arequipa																																				
Pistola del Teniente coronel don José Trinidad Morán  	2	2		m01_s02_058	Revólver perteneciente al Teniente Coronel Don José Trinidad Morán  	Desconocido	(396450000004)	Arma de guerra para uso  de defensa 	Museo Histórico Municipal de Arequipa	No definido	No definido	45 cm	No aplicable	No aplicable	No definido	Conservado	Metal y madera	Sobre el objeto: Se observa un revólver desgastado, antigüo, de madera y metal. Sobre el personaje relacionado: El revólver perteneció al teniente coronel don José Trinidad Morán, quien fue un militar que participó en la campaña de Independencia de Perú  (Batalla de Ayacucho 1824). Nacido en Venezuela el año de 1796 y falleciò en 1854, nacionalizado peruano, sus últimos día los vivió en Arequipa.	Probablemente inicios del siglo XIX	p_02_03	Epoca republicana	Desconocida	Desconocida	ninguna	ninguna	ninguna	ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_058	c_05/03_06; c_08/04_09	Armamento; Objetos documentos documentales de comunicación	Armamento, armas de fuego, pistola, personajes históricos, guerras Perú;Objetos memorable y conmemorativo - Reliquias históricas, siglo XIX.			
Espada de don José Trinidad Morán 	2	2		m01_s02_059	Espada perteneciente a Don José Trinidad Morán 	Desconocido	No asignado	Arma utilizada como parte del uniforme militar, según rango	Museo Histórico Municipal de Arequipa	No aplicable	2.55	90 cm	No aplicable	No definido	No definido	Poco conservado	Metal	Sobre el objeto: Se observa una espada de metal desgastado, color café. Sobre el personaje relacionado: La espada le perteneció al  teniente coronel don José Trinidad Morán quien fue un militar que participó en la campaña de Independencia de Perú  (Batalla de Ayacucho 1824). Nacido en Venezuela el año de 1796 y falleciò en 1854, nacionalizado peruano, sus últimos día los vivió en Arequipa.	Probablemente alrededor de la primera mitad del siglo XIX	p_02_03	Epoca republicana	Desconocida	Desconocida	ninguna	ninguna	ninguna	ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_059	c_05/03_05; c_08/04_09	Armamento; Objetos memorables y conmemorativos	Armamento; Armas afiladas, personajes de guerras, Perú; reliquias históricas, siglo XIX.			
